"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (X)","Coordenada UTM (Y)","Longitud","Latitud"
"2017S008429    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 27                                         ","Desconegut","Divendres","Dv","Laboral","2017",10,"Octubre","13","08","Matí","Altres",0,2,0,2,2,"426936.65 ","4577079.15","2.12562442","41.34004482"
"2017S007316    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 3 Zona Franca / Número 50 Zona Franca      ","Desconegut","Divendres","Dv","Laboral","2017",9,"Setembre","1","13","Matí","No és causa del  vianant",0,2,0,2,2,"426503.22 ","4577014.83","2.12045245","41.33942606"
"2017S010210    ",-1,"Desconegut",-1,"Desconegut",-1,"Litoral (Besòs)                                   ","K128      ","Divendres","Dv","Laboral","2017",12,"Desembre","8","21","Tarda","No és causa del  vianant",0,5,0,5,2,"430450.5  ","4579358.49","2.1673561","41.3608855"
"2017S006364    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 3 Zona Franca                              ","77-111    ","Divendres","Dv","Laboral","2017",7,"Juliol","21","02","Nit","No és causa del  vianant",0,1,0,1,2,"426842.33 ","4576816.19","2.12452894","41.33766786"
"2017S004615    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa                               ","0323 0325","Dijous","Dj","Laboral","2017",5,"Maig","25","14","Tarda","No és causa del  vianant",0,1,0,1,3,"432006,95","4585503,52","2.185272","41.416365"
"2017S007775    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria / Trinxant                              ","0320 0322","Dimecres","Dc","Laboral","2017",9,"Setembre","20","12","Matí","No és causa del  vianant",0,1,0,1,2,"431822,92","4585470,94","2.183245","41.416336"
"2017S004484    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Trinxant / Indústria                              ","0320 0322","Dissabte","Ds","Laboral","2017",5,"Maig","20","21","Tarda","No és causa del  vianant",0,1,0,1,2,"431822,92","4585470,94","2.183245","41.416336"
"2017S010680    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria                                         ","0303 0303","Dimarts","Dm","Laboral","2017",12,"Desembre","26","20","Tarda","No és causa del  vianant",0,2,0,2,1,"431846,11","4585523,10","2.183561","41.416372"
"2017S005152    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria                                         ","0317 0317","Dilluns","Dl","Laboral","2017",6,"Juny","12","15","Tarda","Altres",0,1,0,1,1,"431894,47","4585568,41","2.184059","41.416763"
"2017S003932    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall                                          ","0011 0011","Dimecres","Dc","Laboral","2017",5,"Maig","3","20","Tarda","No és causa del  vianant",0,1,0,1,1,"431636,55","4585227,81","2.181225","41.413958"
"2017S010348    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria                                         ","0295 0295","Dijous","Dj","Laboral","2017",12,"Desembre","14","20","Tarda","No és causa del  vianant",0,1,0,1,2,"431757,04","4585439,98","2.18229","41.415772"
